ద్ఢ	§{æ
ద్ణ	§Šæ
ద్త	§ªæ
ద్థ	§¦æ
ద్ద	§ªæ
ద్ధ	§Éæ
ద్న	§Ýæ
ద్ప	§µæ
ద్ఫ	§¹æ
ద్బ	§¾æ
ద్భ	§Âæ
ద్మ	§šæ
ద్య	§Ÿæ
ద్ర	§–æ
ద్ల	§Ïæ
ద్వ	§Óæ
ద్శ	§Øæ
ద్ష	§Ûæ
ద్స	§Þæ
ద్హ	§åæ
ద్ళ	§åæ
ద్క్ష	§<æ
ద్ఱ	§‚æ
ధ్క	®Œæ
ధ్ఖ	®Uæ
ధ్గ	®Wæ
ధ్ఘ	®œæ
ధ్ఙ	®Zæ
ధ్చ	®eæ
ధ్ఛ	®dæ
ధ్జ	®jæ
ధ్ఝ	®næ
ధ్ఞ	®qæ
ధ్ట	®sæ
ధ్ఠ	®xæ
ధ్డ	®zæ
ధ్ఢ	®{æ
ధ్ణ	®Šæ
ధ్త	®ªæ
ధ్థ	®¦æ
ధ్ద	®ªæ
ధ్ధ	®Éæ
ధ్న	®Ýæ
ధ్ప	®µæ
ధ్ఫ	®¹æ
ధ్బ	®¾æ
ధ్భ	®Âæ
ధ్మ	®šæ
ధ్య	®Ÿæ
ధ్ర	®–æ
ధ్ల	®Ïæ
ధ్వ	®Óæ
ధ్శ	®Øæ
ధ్ష	®Ûæ
ధ్స	®Þæ
ధ్హ	®åæ
ధ్ళ	®åæ
ధ్క్ష	®<æ
ధ్ఱ	®‚æ
న్క	¯Œæ
న్ఖ	¯Uæ
న్గ	¯Wæ
న్ఘ	¯œæ
న్ఙ	¯Zæ
న్చ	¯eæ
న్ఛ	¯dæ
న్జ	¯jæ
న్ఝ	¯næ
న్ఞ	¯qæ
న్ట	¯sæ
న్ఠ	¯xæ
న్డ	¯zæ
న్ఢ	¯{æ
న్ణ	¯Šæ
న్త	¯ªæ
న్థ	¯¦æ
న్ద	¯ªæ
న్ధ	¯Éæ
న్న	¯Ýæ
న్ప	¯µæ
న్ఫ	¯¹æ
న్బ	¯¾æ
న్భ	¯Âæ
న్మ	¯šæ
న్య	¯Ÿæ
న్ర	¯–æ
న్ల	¯Ïæ
న్వ	¯Óæ
న్శ	¯Øæ
న్ష	¯Ûæ
న్స	¯Þæ
న్హ	¯åæ
న్ళ	¯åæ
న్క్ష	¯<æ
న్ఱ	¯‚æ
ప్క	²Œæ
ప్ఖ	²Uæ
ప్గ	²Wæ
ప్ఘ	²œæ
ప్ఙ	²Zæ
ప్చ	²eæ
ప్ఛ	²dæ
ప్జ	²jæ
ప్ఝ	²næ
ప్ఞ	²qæ
ప్ట	²sæ
ప్ఠ	²xæ
ప్డ	²zæ
ప్ఢ	²{æ
ప్ణ	²Šæ
ప్త	²ªæ
ప్థ	²¦æ
ప్ద	²ªæ
ప్ధ	²Éæ
ప్న	²Ýæ
ప్ప	²µæ
ప్ఫ	²¹æ
ప్బ	²¾æ
ప్భ	²Âæ
ప్మ	²šæ
ప్య	²Ÿæ
ప్ర	²–æ
ప్ల	²Ïæ
ప్వ	²Óæ
ప్శ	²Øæ
ప్ష	²Ûæ
ప్స	²Þæ
ప్హ	²åæ
ప్ళ	²åæ
ప్క్ష	²<æ
ప్ఱ	²‚æ
ఫ్క	¸Œ
ఫ్ఖ	¸U
ఫ్గ	¸W
ఫ్ఘ	¸œ
ఫ్ఙ	¸Z
ఫ్చ	¸e
ఫ్ఛ	¸d
ఫ్జ	¸j
ఫ్ఝ	¸n
ఫ్ఞ	¸q
ఫ్ట	¸s
ఫ్ఠ	¸x
ఫ్డ	¸z
ఫ్ఢ	¸{
ఫ్ణ	¸Š
ఫ్త	¸ª
ఫ్థ	¸¦
ఫ్ద	¸ª
ఫ్ధ	¸É
ఫ్న	¸Ý
ఫ్ప	¸µ
ఫ్ఫ	¸¹
ఫ్బ	¸¾
ఫ్భ	¸Â
ఫ్మ	¸š
ఫ్య	¸Ÿ
ఫ్ర	¸–
