# Shree-Tel-0908  glyphs=219  plat3 codes=217
# classes: ABOVE=16  BASE=166  BELOW=22  BLANK=1  DUMMY=9  MARK=3
# overhangBase=44  tallerTwin=17  runs=38

  0x00a1 \u00A1  byte=0x9f BASE   adv=509  ... bbox=(30,0)-(473,595)
  0x00a2 \u00A2  byte=0xa0 MARK   adv=40   .D. bbox=(-419,-260)-(11,-78)
--- run 14  [0xa3 0xa4 0xa5 0xa6]
  0x00a3 \u00A3  byte=0xa1 BASE   adv=247  O.. bbox=(33,-106)-(456,351)
  0x00a4 \u00A4  byte=0xa2 BASE   adv=496  ... bbox=(34,-106)-(457,505)
  0x00a5 \u00A5  byte=0xa3 BASE   adv=496  ..T bbox=(34,-106)-(457,617)
  0x00a6 \u00A6  byte=0xa4 BELOW  adv=40   .D. bbox=(-464,-373)-(-60,-35)
--- run 15  [0xa7 0xa8 0xa9 0xaa 0xab]
  0x00a7 \u00A7  byte=0xa5 BASE   adv=247  O.. bbox=(33,0)-(456,351)
  0x00a8 \u00A8  byte=0xa6 BASE   adv=495  ... bbox=(33,0)-(456,505)
  0x00a9 \u00A9  byte=0xa7 BASE   adv=495  ..T bbox=(34,0)-(457,615)
  0x00aa \u00AA  byte=0xa8 BELOW  adv=40   .D. bbox=(-464,-324)-(-60,-45)
  0x00ab \u00AB  byte=0xa9 MARK   adv=40   ... bbox=(214,-96)-(281,57)
--- run 16  [0xac]
  0x00ac \u00AC  byte=0xaa BASE   adv=726  ... bbox=(33,0)-(718,378)
--- run 17  [0xae]
  0x00ae \u00AE  byte=0xac BELOW  adv=40   .D. bbox=(-464,-383)-(-60,-45)
--- run 18  [0xaf 0xb0 0xb1 0xb2 0xb3 0xb4 0xb5 0xb6 0xb7 0xb8 0xb9 0xba 0xbb 0xbc 0xbd 0xbe 0xbf 0xc0 0xc1 0xc2 0xc3 0xc4 0xc5 0xc6 0xc7 0xc8 0xc9 0xca]
  0x00af \u00AF  byte=0xad BASE   adv=218  O.. bbox=(26,-2)-(426,360)
  0x00b0 \u00B0  byte=0xae BASE   adv=461  ... bbox=(27,-8)-(422,440)
  0x00b1 \u00B1  byte=0xaf BASE   adv=462  ..T bbox=(28,-3)-(423,555)
  0x00b2 \u00B2  byte=0xb0 BASE   adv=195  OD. bbox=(-189,-270)-(213,300)
  0x00b3 \u00B3  byte=0xb1 BASE   adv=434  ... bbox=(21,0)-(396,365)
  0x00b4 \u00B4  byte=0xb2 BASE   adv=400  O.. bbox=(21,0)-(420,445)
  0x00b5 \u00B5  byte=0xb3 BASE   adv=240  .D. bbox=(-162,-234)-(213,307)
